alpha,run,nodes,edges,avg_clustering,max_degree,avg_degree,degree_variance,gini_coefficient,char_path_length,network_diameter,power_law_exponent,degree_centralization,assortativity
2.0,0,1000,3015,0.9440898712063389,937,6.03,1854.5371000000005,0.4993174129353234,2.006742742742743,3,0.6113532951727602,0.9337694407834812,-0.6841789644071599
2.0,1,1000,3015,0.9300004471186362,785,6.03,1585.1630999999998,0.4989170812603648,2.063063063063063,3,0.6243630560888553,0.7813123744987338,-0.6974358961238145
2.0,2,1000,3015,0.9336434391588013,652,6.03,1360.7211000000007,0.498632504145937,2.1013873873873874,3,0.6649008387000795,0.6479124414996068,-0.7747730440236532
2.0,3,1000,3015,0.9489482380221902,843,6.03,1852.3571000000009,0.4994925373134328,2.0297457457457457,3,0.6330833115007711,0.8394867813705629,-0.7116297653567326
2.0,4,1000,3015,0.9463016464703798,794,6.03,1846.7731000000003,0.49954328358208955,2.02594994994995,3,0.5980403124397523,0.790339437634017,-0.7692143978758907
2.0,5,1000,3015,0.9473979807449181,876,6.03,1833.1491000000005,0.49954792703150913,2.031137137137137,3,0.58363701286604,0.8725860128665839,-0.6984510383066777
2.0,6,1000,3015,0.9498228492951699,919,6.03,2296.9271000000012,0.4996474295190713,2.0075235235235236,3,0.6083010741968427,0.9157153145128938,-0.791717879643536
2.0,7,1000,3015,0.9312136917285931,853,6.03,1748.0191000000011,0.498942951907131,2.03826026026026,3,0.5927224546232894,0.8495168515208679,-0.6771048468073969
2.0,8,1000,3015,0.935288880615487,734,6.03,1362.4011000000003,0.49855854063018246,2.1028348348348347,3,0.7088017945011454,0.7301590167321694,-0.6765833796757269
2.0,9,1000,3015,0.9510728277131221,759,6.03,1616.2050999999994,0.4992825870646766,2.0536116116116117,3,0.7842398409463611,0.7552341921079476,-0.7574463666112016
2.0,10,1000,3015,0.9368084021393918,848,6.03,1837.1891000000005,0.4992480928689884,2.035851851851852,3,0.6087327415508529,0.8445018164456997,-0.7105210926158245
2.0,11,1000,3015,0.9314931080548321,870,6.03,1656.9690999999998,0.4989585406301824,2.054940940940941,3,0.658750304553591,0.8665679707763799,-0.6472485351672116
2.0,12,1000,3015,0.9260390862427943,880,6.03,1746.6891000000007,0.49883449419568826,2.0383243243243245,3,0.6891503388775269,0.8765980409266831,-0.6091473193479835
2.0,13,1000,3015,0.948083557172044,855,6.03,1965.8751000000004,0.4996235489220564,2.023975975975976,3,0.576694622663128,0.8515228655509098,-0.7282584305841664
2.0,14,1000,3015,0.9401328553701522,804,6.03,1720.7531000000008,0.4992318407960199,2.042962962962963,3,0.6305085985959205,0.8003695077843497,-0.7435949400477929
2.0,15,1000,3015,0.9450457045573322,857,6.03,1820.1791000000005,0.4993101160862355,2.033203203203203,3,0.6896173918050593,0.8535288795809683,-0.7096689951410544
2.0,16,1000,3015,0.937700852416458,849,6.03,1776.2011000000016,0.499253399668325,2.0353473473473476,4,0.6265017138954371,0.8455048234607228,-0.6912505308139065
2.0,17,1000,3015,0.9480624409785052,763,6.03,1717.3851000000006,0.49934726368159205,2.0412492492492493,3,0.711303794076587,0.7592462201680563,-0.7292240978728102
2.0,18,1000,3015,0.9396982691207162,817,6.03,1920.9911000000013,0.4992504145936982,2.0376976976976975,3,0.6015052533171489,0.8134085989797348,-0.7150053824209573
2.0,19,1000,3015,0.9220046094096492,825,6.03,1744.0831000000005,0.49890480928689884,2.0434654654654656,3,0.6312637626089432,0.8214326550999813,-0.7088786538006931
3.0,0,1000,3015,0.990208472779294,991,6.03,2661.1991000000007,0.5007645107794362,1.9958098098098098,3,0.4915798362420325,0.9879318195951647,-0.8866847835636117
3.0,1,1000,3015,0.9903372259297273,988,6.03,2469.8071000000014,0.5006868988391376,1.9957957957957957,3,0.5593092552432438,0.9849227985500366,-0.8427501435442165
3.0,2,1000,3015,0.9890999457426631,961,6.03,2686.3951000000015,0.5007310116086235,2.0022702702702704,3,0.5029854804648233,0.9578416091442202,-0.8993327996320908
3.0,3,1000,3015,0.9894591969597271,977,6.03,2609.9551000000015,0.5007409618573798,1.9999279279279278,3,0.4440176646651244,0.9738897213847274,-0.8762464445344607
3.0,4,1000,3015,0.9888464627985473,978,6.03,2645.4191000000005,0.5007286898839137,1.9966266266266266,3,0.42459944634792435,0.9748927283997495,-0.8810260197566611
3.0,5,1000,3015,0.9904574390935748,987,6.03,2695.7271000000014,0.5007582089552239,1.996174174174174,3,0.4752156097662498,0.9839197915350146,-0.8984611430911154
3.0,6,1000,3015,0.990745337734206,993,6.03,2840.9791000000014,0.5008242122719735,1.9940520520520522,3,0.4406091504563271,0.9899378336252201,-0.9441462929356106
3.0,7,1000,3015,0.9904294796281786,984,6.03,2735.717100000001,0.5007512437810945,1.9964924924924925,3,0.4581899939437156,0.9809107704899408,-0.9122260203457428
3.0,8,1000,3015,0.9921144838637648,988,6.03,2776.399100000001,0.5008142620232172,1.9945265265265266,3,0.4323347206839257,0.9849227985500366,-0.9245596382844286
3.0,9,1000,3015,0.9920889281797804,989,6.03,2677.5351000000014,0.5007794361525705,1.9942742742742743,3,0.42383441522671356,0.9859258055650697,-0.8961572248305638
3.0,10,1000,3015,0.9903341613867233,971,6.03,2726.9531000000015,0.5007598673300165,1.9984004004004003,3,0.4846757969963015,0.9678716792945219,-0.9102078018826621
3.0,11,1000,3015,0.9913284550216219,977,6.03,2676.1691000000014,0.5007688225538972,1.9962642642642643,3,0.40486745485530773,0.9738897213847274,-0.9002437045214754
3.0,12,1000,3015,0.9909643643205198,984,6.03,2825.5591000000013,0.5008228855721393,1.9942302302302302,3,0.4087386015649764,0.9809107704899408,-0.9400841659316618
3.0,13,1000,3015,0.987783969905101,973,6.03,2745.7231000000015,0.5007714759535655,2.000084084084084,3,0.4081985242278334,0.9698776933245777,-0.9162063512136174
3.0,14,1000,3015,0.9891082128637365,963,6.03,2711.0491000000015,0.500731343283582,2.0004424424424423,3,0.5037633387525303,0.9598476231742762,-0.9058641308181573
3.0,15,1000,3015,0.9894115892996292,906,6.03,2345.719100000001,0.5005970149253731,1.9987327327327327,3,0.47708845192714816,0.9026762233175153,-0.8530657516768781
3.0,16,1000,3015,0.9926364857492052,966,6.03,2719.8731000000007,0.5007880597014925,1.9998498498498498,3,0.39802112275012175,0.962856644219354,-0.9112455756095414
3.0,17,1000,3015,0.9890398795529377,958,6.03,2600.2791000000016,0.5006885572139304,2.001089089089089,3,0.5213169942238246,0.9548325880991049,-0.8747418176046016
3.0,18,1000,3015,0.9922740757100301,986,6.03,2812.5951000000005,0.5008228855721393,1.994184184184184,3,0.37082809330650807,0.9829167845199961,-0.9362086915954558
3.0,19,1000,3015,0.9906906773963697,982,6.03,2754.8391000000015,0.5008063018242123,1.9943283283283284,3,0.34348820004110725,0.9789047564598453,-0.9184553388009153
4.0,0,1000,3015,0.9934045129649657,996,6.03,2879.2951000000016,0.5008580431177446,1.99593993993994,3,0.40390013907580247,0.9929468546702825,-0.9564006511850489
4.0,1,1000,3015,0.9926694192624698,977,6.03,2723.4771000000014,0.5007983416252073,2.000006006006006,3,0.5367206836312833,0.9738897213847274,-0.912563857883913
4.0,2,1000,3015,0.9935269674108755,999,6.03,2871.9331000000016,0.5008626865671642,1.993963963963964,2,0.4034430762054543,0.995955875715411,-0.9539318689282956
4.0,3,1000,3015,0.9930260909334193,994,6.03,2869.7071000000014,0.5008477611940299,1.994032032032032,3,0.4658423907724194,0.9909408406402421,-0.953273019748092
4.0,4,1000,3015,0.9947444340221734,997,6.03,2929.7151000000017,0.5008872305140962,1.99396996996997,3,0.4486348780808873,0.9939498616853155,-0.9724481072124851
4.0,5,1000,3015,0.9932692183618892,991,6.03,2862.0771000000013,0.5008517412935323,1.994114114114114,3,0.45489086598242434,0.9879318195951647,-0.9512278277809286
4.0,6,1000,3015,0.99278386284815,995,6.03,2869.9511000000016,0.5008583747927031,1.994,3,0.3746484422832219,0.9919438476552606,-0.9533267156523382
4.0,7,1000,3015,0.9940602051844496,996,6.03,2864.4691000000016,0.5008679933665009,1.994012012012012,3,0.3885301186907935,0.9929468546702825,-0.9521553568110915
4.0,8,1000,3015,0.9941268011365139,997,6.03,2895.0231000000017,0.5008779436152571,1.9940240240240241,3,0.4278702479745522,0.9939498616853155,-0.9613212398482431
4.0,9,1000,3015,0.9934475816530189,985,6.03,2826.7611000000015,0.50084543946932,1.995953953953954,3,0.5530876349253181,0.981913777504974,-0.9413132761574564
4.0,10,1000,3015,0.9935964916806354,979,6.03,2842.9431000000013,0.500844776119403,2.0016836836836838,3,0.40629221745214733,0.9758957354147679,-0.9458076778865157
4.0,11,1000,3015,0.9924111244265834,991,6.03,2856.5311000000015,0.5008461028192371,1.995991991991992,3,0.4237902290503697,0.9879318195951647,-0.9491185697897395
4.0,12,1000,3015,0.9936503760762464,990,6.03,2853.0211000000013,0.5008577114427861,1.994084084084084,3,0.4021766927220604,0.9869288125800918,-0.9486800079006462
4.0,13,1000,3015,0.9929794409236183,991,6.03,2810.0831000000017,0.500836815920398,1.9997657657657657,3,0.4369924300410323,0.9879318195951647,-0.9351720617753876
4.0,14,1000,3015,0.9935497478864865,949,6.03,2619.8591000000015,0.5007665008291874,1.9975175175175175,3,0.5156567427175967,0.9458055249638252,-0.8992121201296265
4.0,15,1000,3015,0.9936646933229458,995,6.03,2879.3071000000014,0.50086135986733,1.997855855855856,3,0.49686390947472003,0.9919438476552606,-0.9565156142079471
4.0,16,1000,3015,0.9931226228083689,987,6.03,2865.6131000000014,0.5008451077943615,1.99608008008008,3,0.5258805067557724,0.9839197915350146,-0.9523278086985197
4.0,17,1000,3015,0.993591393586528,993,6.03,2883.405100000001,0.5008716417910448,1.995911911911912,3,0.3667918002515674,0.9899378336252201,-0.95773975824973
4.0,18,1000,3015,0.9929906733608733,987,6.03,2802.9911000000016,0.5008334991708127,1.998008008008008,3,0.5016695914197876,0.9839197915350146,-0.9325767430899594
4.0,19,1000,3015,0.9935831660282812,990,6.03,2871.6531000000014,0.5008600331674958,1.9940900900900902,3,0.4009533728056459,0.9869288125800918,-0.954216145174006
