initial_nodes,final_nodes,edges_per_step,avg_clustering,char_path_length,total_edges,avg_degree
10,100,3,0.23574120254698055,2.4424242424242424,315,6.3
10,200,3,0.1692432191417825,2.786683417085427,615,6.15
10,100,3,0.2556369466893984,2.5296969696969698,315,6.3
20,100,1,0.14358822511821015,2.6814141414141415,270,5.4
15,300,2,0.21078996815044648,3.0631884057971015,675,4.5
5,200,1,0.0011186790505675953,4.5214572864321605,205,2.05
5,500,1,0.0001786824341749175,4.971062124248497,505,2.02
10,200,5,0.14053881362213572,2.464673366834171,995,9.95
10,300,5,0.12539333745219974,2.5572352285395765,1495,9.966666666666667
10,200,3,0.1461056172906467,2.786281407035176,615,6.15
20,300,5,0.21231796969937944,2.5127090301003343,1590,10.6
20,100,2,0.642722168473604,2.4793939393939395,350,7.0
10,100,3,0.23521755019283616,2.5444444444444443,315,6.3
5,200,2,0.12044952498014534,3.273316582914573,400,4.0
5,100,1,0.005007326007326007,4.142626262626263,105,2.1
10,100,1,0.03261786819991154,3.1335353535353536,135,2.7
15,100,2,0.4276453883477941,2.5995959595959595,275,5.5
15,500,2,0.15159606812542226,3.340432865731463,1075,4.3
10,500,2,0.08834383375100573,3.4472144288577153,1025,4.1
20,500,2,0.2400216839626201,3.127743486973948,1150,4.6
5,100,5,0.20191525801389099,2.2062626262626264,485,9.7
15,500,5,0.10704954545425278,2.685571142284569,2530,10.12
20,100,1,0.14253779553779558,2.6464646464646466,270,5.4
5,500,3,0.046377136686014946,3.222685370741483,1495,5.98
5,200,2,0.09564928177211708,3.2947236180904524,400,4.0
10,500,2,0.08015173250965957,3.5480320641282566,1025,4.1
20,200,3,0.30754949173052315,2.6580402010050252,730,7.3
20,200,1,0.05187029504046067,3.049396984924623,370,3.7
20,100,1,0.14221668766016593,2.6444444444444444,270,5.4
5,100,2,0.24718907688027392,2.8874747474747475,200,4.0
10,500,5,0.07710747756210469,2.7448897795591183,2495,9.98
20,200,5,0.2633284294097762,2.387386934673367,1090,10.9
5,200,5,0.14048941392503203,2.4552763819095476,985,9.85
5,500,3,0.05579542790040995,3.1757194388777554,1495,5.98
20,300,5,0.220842723155577,2.5027647714604235,1590,10.6
20,200,2,0.5080272231560421,2.7404522613065327,550,5.5
15,200,1,0.028854029515326465,3.304472361809045,290,2.9
5,300,1,0.0013614282657760917,5.482341137123746,305,2.033333333333333
5,500,2,0.06304796428418787,3.6609458917835673,1000,4.0
5,100,2,0.08697692658218975,3.044040404040404,200,4.0
5,100,2,0.15452544700703943,2.963030303030303,200,4.0
20,100,2,0.4853451451875136,2.5143434343434343,350,7.0
5,100,5,0.18957769233260113,2.226868686868687,485,9.7
15,300,2,0.2384059940593904,3.1233221850613155,675,4.5
